SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,species,id,Leaf #,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,12:01:16,2022-08-12,gsw light adap,Shane,,rhov,001,001,0.223655,2.915441,0.207720,3.734426,1.364592,1.258817,3.145884,1.781292,12.422214,13.466019,31.044094,0.441786,PSF-00338_20220812120116,0.000000,0.000000,0.000000,89.506386,143.836166,0.377720,0.5,0.80,208.317703,56.67,52.28,20.42,24.82,101.34,155.9,155.5,0.3,1379,4.073,12:01:03,2022-08-12,6.65,-0.000,-0.004,-0.014,-0.667,-0.524,-0.197,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,138.504623,25,-5.731898,136.794449,138.096848,-1.302399,2.501728,2.503698,1.649432,0.830686,0.327659,0.050616,0.069602,1.352627,89.506386,0.000371,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120116,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
2,12:01:34,2022-08-12,gsw light adap,Shane,,rhov,001,002,0.251462,2.916648,0.231503,4.973194,1.409537,1.268860,3.533548,2.124011,12.520263,13.908374,34.866695,0.441786,PSF-00338_20220812120134,0.000000,0.000000,0.000000,106.086372,143.124863,0.258784,0.5,0.80,205.714325,57.92,52.14,20.59,26.78,101.34,156.1,152.6,2.2,1987,4.074,12:01:03,2022-08-12,6.65,-0.001,-0.002,-0.019,-0.625,-0.724,0.748,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,140.570282,25,-2.540906,140.155075,140.580658,-0.425583,2.501487,2.505381,1.650692,0.825555,0.325415,0.071377,0.071859,1.902341,106.086372,0.000357,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120134,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
3,12:01:58,2022-08-12,gsw light adap,Shane,,rhov,002,000,0.120977,2.919262,0.116163,2.421695,1.344510,1.276101,3.407830,2.063319,12.591187,13.266176,33.624783,0.441786,PSF-00338_20220812120158,0.000000,0.000000,0.000000,91.417191,119.409897,0.234425,0.5,0.80,183.350586,54.45,51.68,20.82,26.17,101.35,156.4,154.4,1.3,1955,4.072,12:01:03,2022-08-12,6.65,-0.001,0.001,-0.000,-0.172,-1.144,-16.297,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,117.151733,25,-2.439678,116.826653,116.967056,-0.140404,2.500777,2.500483,1.653436,0.828703,0.322339,0.061582,0.074926,1.873439,91.417191,0.000366,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120158,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
4,12:02:16,2022-08-12,gsw light adap,Shane,,rhov,002,001,0.103566,2.915692,0.100013,2.183011,1.332867,1.271019,3.492393,2.159526,12.540918,13.151164,34.458820,0.441786,PSF-00338_20220812120216,0.000000,0.000000,0.000000,118.340134,163.347885,0.275533,0.5,0.80,223.133789,53.40,50.93,21.00,26.58,101.35,156.0,155.2,0.5,2025,4.073,12:01:03,2022-08-12,6.65,-0.002,-0.003,-0.006,1.737,0.421,-5.666,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,161.043045,25,-2.043126,161.170715,161.302109,-0.131393,2.499673,2.498961,1.649693,0.830140,0.320082,0.064459,0.077114,1.935991,118.340134,0.000366,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120216,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
5,12:02:31,2022-08-12,gsw light adap,Shane,,rhov,002,002,0.108697,2.918931,0.104794,2.200430,1.330351,1.268160,3.408897,2.078547,12.511540,13.125104,33.631832,0.441786,PSF-00338_20220812120231,0.000000,0.000000,0.000000,138.459564,186.048599,0.255788,0.5,0.80,125.791054,52.80,50.33,21.15,26.17,101.36,156.4,152.1,2.7,1229,4.072,12:01:03,2022-08-12,6.65,-0.001,-0.003,-0.008,-2.237,-4.152,-12.547,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,184.366104,25,-2.005979,183.353668,184.040024,-0.686356,2.498805,2.498074,1.653088,0.824613,0.318119,0.057985,0.078920,1.217721,138.459564,0.000364,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120231,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
6,12:02:45,2022-08-12,gsw light adap,Shane,,rhov,002,003,0.117442,2.917359,0.112897,2.438772,1.340973,1.271968,3.478458,2.137485,12.549106,13.229900,34.318108,0.441786,PSF-00338_20220812120245,0.000000,0.000000,0.000000,96.137169,141.533463,0.320746,0.5,0.80,203.589447,52.79,50.07,21.29,26.51,101.36,156.2,154.3,1.2,1587,4.071,12:01:03,2022-08-12,6.65,-0.001,-0.003,-0.010,-0.519,-1.632,-4.248,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,134.391190,25,-7.464840,132.027267,134.058945,-2.031677,2.498400,2.498016,1.651436,0.828588,0.316414,0.060461,0.080515,1.540576,96.137169,0.000367,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120245,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
7,12:03:05,2022-08-12,gsw light adap,Shane,,rhov,003,001,0.172022,2.916103,0.162440,2.377257,1.344454,1.277119,2.797655,1.453201,12.598647,13.262902,27.598587,0.441786,PSF-00338_20220812120305,0.000000,0.000000,0.000000,77.468994,197.979019,0.608701,0.5,0.80,31.257839,52.33,49.71,21.47,22.87,101.37,156.0,146.5,6.1,128,4.071,12:01:03,2022-08-12,6.65,-0.001,-0.002,-0.010,1.572,0.843,3.254,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,184.789902,25,-14.064137,180.400009,183.896652,-3.496643,2.497838,2.497316,1.650123,0.814672,0.314074,0.017035,0.083078,0.223074,77.468994,0.000371,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120305,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
8,12:03:29,2022-08-12,gsw light adap,Shane,,rhov,004,001,0.277993,2.916744,0.253803,4.888248,1.428088,1.289831,3.334374,1.906287,12.725528,14.089575,32.897079,0.441786,PSF-00338_20220812120329,0.000000,0.000000,0.000000,102.486488,125.666557,0.184457,0.5,0.80,11.132738,54.94,49.62,21.66,25.80,101.36,156.1,153.6,1.6,151,4.026,12:01:03,2022-08-12,6.65,-0.001,0.000,-9999.000,1.244,3.068,-9999.000,1,150,0.005,2.000000,0,mpf,10000,500,5.000000,2.000000,300,300,300,124.137283,25,-1.505413,123.593689,124.159195,-0.565506,2.497659,2.500916,1.650792,0.827267,0.311679,0.047993,0.085949,0.243405,102.486488,0.000364,2.416988,-0.000071,1.000000,2.422773,-0.000075,1.000000,0.602665,0.600994,0.107103,0.000000,PSF-00338_20220812120329,PFA-00366,PSA-00383,PSF-00338,RHS-00157,2.0.0,2022-03-31T18:26:44.181Z
